State,NFL_Team,SB_Appearances,SB_Wins
AL,,,
AK,,,
AZ,Cardinals,1,0
AR,,,
CA,Rams,4,1
CA,Chargers,1,0
CA,49ers,7,5
CO,Broncos,8,3
CT,,,
DE,,,
FL ,Jaguars,0,0
FL,Dolphins,5,2
FL,Buccaneers,1,1
GA,Falcons,2,0
HI,,,
ID,,,
IL,Bears,2,1
IN,Colts,4,2
IA,,,
KS,,,
KY,,,
LA,Saints,1,1
ME,,,
MD,Ravens,2,2
MA,Patriots,11,6
MI,Lions,0,0
MN,Vikings,4,0
MS,,,
MO,Chiefs,3,2
MT,,,
NE,,,
NV,Raiders,5,3
NH,,,
NJ,,,
NM,,,
NY,Giants,5,4
NY,Jets,1,1
NY,Bills,4,0
NC,Panthers,2,0
ND,,,
OH,Bengals,2,0
OH ,Browns,0,0
OK,,,
OR,,,
PA,Eagles,3,1
PA,Steelers,8,6
RI,,,
SC,,,
SD,,,
TN,Titans,1,0
TX,Cowboys,8,5
TX,Texans,0,0
UT,,,
VT,,,
VA,,,
WA,Seahawks,3,1
WV,,,
WI,Packers,5,4
WY,,,
DC,Football Team,5,3