State,NFL_Team,SB_Appearances,SB_Wins,Conference
AL,,,,
AK,,,,
AZ,Cardinals,1,0,NFC
AR,,,,
CA,Rams,4,1,NFC
CA,Chargers,1,0,AFC
CA,49ers,7,5,NFC
CO,Broncos,8,3,AFC
CT,,,,
DE,,,,
FL ,Jaguars,0,0,AFC
FL,Dolphins,5,2,AFC
FL,Buccaneers,1,1,NFC
GA,Falcons,2,0,NFC
HI,,,,
ID,,,,
IL,Bears,2,1,NFC
IN,Colts,4,2,AFC
IA,,,,
KS,,,,
KY,,,,
LA,Saints,1,1,NFC
ME,,,,
MD,Ravens,2,2,AFC
MA,Patriots,11,6,AFC
MI,Lions,0,0,NFC
MN,Vikings,4,0,NFC
MS,,,,
MO,Chiefs,3,2,AFC
MT,,,,
NE,,,,
NV,Raiders,5,3,AFC
NH,,,,
NJ,,,,
NM,,,,
NY,Giants,5,4,NFC
NY,Jets,1,1,AFC
NY,Bills,4,0,AFC
NC,Panthers,2,0,NFC
ND,,,,
OH,Bengals,2,0,AFC
OH ,Browns,0,0,AFC
OK,,,,
OR,,,,
PA,Eagles,3,1,NFC
PA,Steelers,8,6,AFC
RI,,,,
SC,,,,
SD,,,,
TN,Titans,1,0,AFC
TX,Cowboys,8,5,NFC
TX,Texans,0,0,AFC
UT,,,,
VT,,,,
VA,,,,
WA,Seahawks,3,1,NFC
WV,,,,
WI,Packers,5,4,NFC
WY,,,,
DC,Football Team,5,3,NFC